index, name, memory.total [MiB], uuid
0, NVIDIA GeForce RTX 4090 D, 49140 MiB, GPU-70bdb01e-2af5-e3f7-f564-1b3c5f82d833
1, NVIDIA GeForce RTX 4090 D, 49140 MiB, GPU-3cb3231c-668c-b73a-7922-52cbe141797f
