task,calibration,seed,early_updates,final_updates,P2_change,P4_change,I_change,native_gap_change,gap_recovery_change,gap_recovery_percent_change,inference_T2_minus_T4_after_a2_change,inference_T2_minus_T4_after_a4_change,gain_a2_e2_change,gain_a2_e4_change,gain_a4_e2_change,gain_a4_e4_change
language,raw,8621,512,4096,0.00252667851882471,0.03211745962857604,0.03464413814740075,-0.02336670749750569,0.02336670749750569,9.880165562413033,-0.05548416712608173,-0.02084002897868098,0.10768300330108671,0.05219883617500498,0.105156324782262,0.08431629580358102
language,raw,8622,512,4096,0.000417258528734088,-0.003579062852354209,-0.003161804323620121,-0.030225046027196,0.030225046027196,12.780082898377032,-0.026645983174841792,-0.029807787498461913,0.10871564483191909,0.0820696616570773,0.108298386303185,0.07849059880472309
language,raw,8623,512,4096,-0.006752569549642651,0.012915572094187588,0.006163002544544938,-0.0076955740012132345,0.0076955740012132345,3.2539263496110635,-0.020611146095400823,-0.014448143550855885,0.09937558203689711,0.07876443594149629,0.10612815158653977,0.09168000803568388
vision,bn_only,9621,512,2048,0.024540263601724233,0.013966162099887214,0.038506425701611446,-0.02208824249490271,0.02208824249490271,8.925179792383929,-0.036054404594789924,0.0024520211068215225,0.023216659140895324,-0.0128377454538946,-0.0013236044608289088,0.0011284166459926137
vision,bn_only,9622,512,2048,0.02487290262836006,0.015511695711547535,0.040384598339907596,-0.022890106369322094,0.022890106369322094,9.24918833447876,-0.03840180208086963,0.0019827962590379666,0.032449331876472476,-0.005952470204397153,0.007576429248112415,0.009559225507150382
vision,bn_only,9623,512,2048,0.03117337307736734,0.003398633537729623,0.03457200661509696,-0.02778571206897018,0.02778571206897018,11.227352105184472,-0.031184345606699804,0.003387661008397158,0.036714838096755464,0.005530492490055661,0.005541465019388125,0.008929126027785284
vision,bn_only,9624,512,2048,0.027046500688395314,0.01354255529213133,0.040589055980526645,-0.025884974212897705,0.025884974212897705,10.459322366849612,-0.039427529505029035,0.0011615264754976096,0.03514158259234379,-0.004285946912685246,0.008095081903948476,0.009256608379446085
vision,bn_only,9625,512,2048,0.032731738820776846,0.00897642325335779,0.041708162074134636,-0.02438469111473518,0.02438469111473518,9.853104086075767,-0.03336111436809297,0.008347047706041666,0.036775595468573785,0.003414481100480815,0.0040438566477969395,0.012390904353838605
vision,raw,9621,512,2048,-0.00789253633887288,0.005868721275852362,-0.0020238150630205176,0.0009914893904585664,-0.0009914893904585664,-0.3901652278995442,-0.004877231885393796,-0.006901046948414313,-0.004559846127114797,-0.009437078012508593,0.0033326902117580826,-0.0035683567366562308
vision,raw,9622,512,2048,0.02230702692307518,-0.034262632104079316,-0.011955605181004136,-0.02692351911230939,0.02692351911230939,10.594789083374238,0.007339112991769925,-0.0046164921892342115,0.02385741017777465,0.031196523169544577,0.0015503832546994722,-0.003066108934534739
vision,raw,9623,512,2048,0.019915904399682827,-0.03264842324670192,-0.012732518847019092,-0.02325274148350598,0.02325274148350598,9.150285688891913,0.00939568176319594,-0.003336837083823152,0.1030181638519978,0.11241384561519374,0.08310225945231497,0.07976542236849182
vision,raw,9624,512,2048,0.021365179145219626,-0.017407114313321648,0.003958064831897978,-0.01913965829419917,0.01913965829419917,7.531728742777297,-0.0017325439808775212,0.002225520851020457,0.04096914862666745,0.03923660464578993,0.019603969481447825,0.021829490332468282
vision,raw,9625,512,2048,0.03119836052919278,-0.03147864664554367,-0.00028028611635089185,-0.028810201454186002,0.028810201454186002,11.337225515852722,0.0026684451913576712,0.0023881590750067794,0.01114984077487624,0.013818285966233912,-0.02004851975431654,-0.01766036067930976
