task,seed,session,T,engine,median_ms,q1_ms,q3_ms,iqr_ms,gpu,calls
language,8621,0,2,eager,12.191042304039001,12.138034217059612,12.245506048202515,0.10747183114290237,0,30
language,8621,0,2,graph,6.319699808955193,6.31012674421072,6.32791593670845,0.017789192497730255,0,30
language,8621,0,4,eager,15.971895307302475,15.932656824588776,16.023147851228714,0.09049102663993835,0,30
language,8621,0,4,graph,10.004732757806778,9.99416597187519,10.009845718741417,0.015679746866226196,0,30
language,8621,1,2,eager,12.571016326546669,12.480323202908039,12.638851068913937,0.15852786600589752,0,30
language,8621,1,2,graph,6.316488608717918,6.310616619884968,6.330536678433418,0.01992005854845047,0,30
language,8621,1,4,eager,16.1252673715353,16.08380675315857,16.27720333635807,0.19339658319950104,0,30
language,8621,1,4,graph,10.01005433499813,10.00568363815546,10.016603395342827,0.010919757187366486,0,30
language,8621,2,2,eager,12.42000237107277,12.376431375741959,12.475033290684223,0.09860191494226456,0,30
language,8621,2,2,graph,6.323250010609627,6.318754516541958,6.327684037387371,0.008929520845413208,0,30
language,8621,2,4,eager,16.085876151919365,16.04184042662382,16.157958656549454,0.11611822992563248,0,30
language,8621,2,4,graph,10.02577692270279,10.009611956775188,10.033546015620232,0.023934058845043182,0,30
language,8622,0,2,eager,12.316716834902763,12.291207909584045,12.351135723292828,0.059927813708782196,1,30
language,8622,0,2,graph,6.432795897126198,6.429046392440796,6.437001749873161,0.007955357432365417,1,30
language,8622,0,4,eager,15.997271984815598,15.879557467997074,27.513621374964714,11.63406390696764,1,30
language,8622,0,4,graph,10.16562432050705,10.158208198845387,10.177313350141048,0.019105151295661926,1,30
language,8622,1,2,eager,12.462185695767403,12.424631044268608,12.615525163710117,0.19089411944150925,1,30
language,8622,1,2,graph,6.425706669688225,6.421004422008991,6.4285555854439735,0.0075511634349823,1,30
language,8622,1,4,eager,16.11945964396,16.099032945930958,16.589132137596607,0.4900991916656494,1,30
language,8622,1,4,graph,10.17783209681511,10.166766121983528,10.20018570125103,0.03341957926750183,1,30
language,8622,2,2,eager,12.46248185634613,12.430441565811634,12.517170049250126,0.08672848343849182,1,30
language,8622,2,2,graph,6.43627904355526,6.432981230318546,6.439056247472763,0.006075017154216766,1,30
language,8622,2,4,eager,16.159093007445335,16.10584370791912,16.27907995134592,0.17323624342679977,1,30
language,8622,2,4,graph,10.185712948441505,10.179567150771618,10.192138142883778,0.012570992112159729,1,30
language,8623,0,2,eager,12.217609211802483,12.13762816041708,12.754891999065876,0.6172638386487961,0,30
language,8623,0,2,graph,6.319170817732811,6.315379403531551,6.322318688035011,0.00693928450345993,0,30
language,8623,0,4,eager,15.884503722190857,15.864438377320766,15.910602174699306,0.04616379737854004,0,30
language,8623,0,4,graph,10.011062026023865,10.004159063100815,10.015424340963364,0.011265277862548828,0,30
language,8623,1,2,eager,12.261593714356422,12.236479669809341,12.308682315051556,0.0722026452422142,0,30
language,8623,1,2,graph,6.324755027890205,6.316779181361198,6.334834732115269,0.018055550754070282,0,30
language,8623,1,4,eager,15.85429534316063,15.814974904060364,16.090864315629005,0.27588941156864166,0,30
language,8623,1,4,graph,10.010018944740295,10.006134398281574,10.016881860792637,0.010747462511062622,0,30
language,8623,2,2,eager,12.585092335939407,12.528889812529087,12.629157863557339,0.10026805102825165,0,30
language,8623,2,2,graph,6.324898451566696,6.322074681520462,6.3294293358922005,0.007354654371738434,0,30
language,8623,2,4,eager,16.36974699795246,16.337769106030464,16.425063833594322,0.08729472756385803,0,30
language,8623,2,4,graph,10.027023032307625,10.017765685915947,10.032369755208492,0.014604069292545319,0,30
vision,9621,0,2,eager,8.735310286283493,8.711930364370346,8.747990243136883,0.03605987876653671,0,30
vision,9621,0,2,graph,3.2797660678625107,3.1171971932053566,3.2845744863152504,0.1673772931098938,0,30
vision,9621,0,4,eager,11.151950806379318,11.110329069197178,11.16405613720417,0.05372706800699234,0,30
vision,9621,0,4,graph,4.696492105722427,4.692521877586842,4.7004083171486855,0.007886439561843872,0,30
vision,9621,1,2,eager,8.74391756951809,8.714443072676659,8.76979436725378,0.055351294577121735,0,30
vision,9621,1,2,graph,3.100339323282242,3.0941637232899666,3.1044576317071915,0.010293908417224884,0,30
vision,9621,1,4,eager,11.105263605713844,11.056301183998585,11.35510578751564,0.2988046035170555,0,30
vision,9621,1,4,graph,4.700839519500732,4.692922346293926,4.964361898601055,0.2714395523071289,0,30
vision,9621,2,2,eager,8.759401738643646,8.737538009881973,8.807160891592503,0.06962288171052933,0,30
vision,9621,2,2,graph,3.2646767795085907,3.1010685488581657,3.2732803374528885,0.17221178859472275,0,30
vision,9621,2,4,eager,11.194419115781784,11.16290409117937,11.232488788664341,0.06958469748497009,0,30
vision,9621,2,4,graph,4.6930089592933655,4.686715081334114,4.696831107139587,0.010116025805473328,0,30
vision,9622,0,2,eager,8.708285167813301,8.672516793012619,8.735975250601768,0.06345845758914948,1,30
vision,9622,0,2,graph,3.265300765633583,3.158251754939556,3.271217457950115,0.11296570301055908,1,30
vision,9622,0,4,eager,11.144427582621574,11.112584732472897,11.202867142856121,0.09028241038322449,1,30
vision,9622,0,4,graph,4.774685949087143,4.770959727466106,4.7794003039598465,0.008440576493740082,1,30
vision,9622,1,2,eager,8.71000625193119,8.688769303262234,8.74372385442257,0.05495455116033554,1,30
vision,9622,1,2,graph,3.147158771753311,3.1444216147065163,3.15070990473032,0.006288290023803711,1,30
vision,9622,1,4,eager,10.996595025062561,10.96175517886877,11.028372682631016,0.06661750376224518,1,30
vision,9622,1,4,graph,4.77585569024086,4.771477542817593,4.956377670168877,0.18490012735128403,1,30
vision,9622,2,2,eager,8.764589205384254,8.747910149395466,8.809621445834637,0.06171129643917084,1,30
vision,9622,2,2,graph,3.2393503934144974,3.1620552763342857,3.2456479966640472,0.0835927203297615,1,30
vision,9622,2,4,eager,11.243350803852081,11.220702901482582,11.282077059149742,0.061374157667160034,1,30
vision,9622,2,4,graph,4.7718435525894165,4.768280312418938,4.776407964527607,0.008127652108669281,1,30
vision,9623,0,2,eager,15.293225646018982,15.238426625728607,15.398705378174782,0.16027875244617462,0,30
vision,9623,0,2,graph,3.1199082732200623,3.1120292842388153,3.28750628978014,0.17547700554132462,0,30
vision,9623,0,4,eager,19.65925097465515,19.605726934969425,19.7122348472476,0.10650791227817535,0,30
vision,9623,0,4,graph,4.708420485258102,4.70301229506731,4.711281508207321,0.008269213140010834,0,30
vision,9623,1,2,eager,8.915724232792854,8.89403186738491,8.982346393167973,0.08831452578306198,0,30
vision,9623,1,2,graph,3.096718341112137,3.0916566029191017,3.101872280240059,0.010215677320957184,0,30
vision,9623,1,4,eager,11.269407346844673,11.238317005336285,11.359205469489098,0.12088846415281296,0,30
vision,9623,1,4,graph,4.70350868999958,4.696354269981384,4.968483000993729,0.27212873101234436,0,30
vision,9623,2,2,eager,8.62814113497734,8.611809462308884,8.794993162155151,0.1831836998462677,0,30
vision,9623,2,2,graph,3.1346771866083145,3.1096749007701874,3.141721710562706,0.032046809792518616,0,30
vision,9623,2,4,eager,11.105295270681381,11.075970716774464,11.279650032520294,0.20367931574583054,0,30
vision,9623,2,4,graph,4.695136100053787,4.689997993409634,4.69864159822464,0.008643604815006256,0,30
vision,9624,0,2,eager,8.645609021186829,8.61500483006239,8.674798533320427,0.05979370325803757,1,30
vision,9624,0,2,graph,3.154465928673744,3.150387667119503,3.162276931107044,0.011889263987541199,1,30
vision,9624,0,4,eager,10.94898208975792,10.923256166279316,10.98146103322506,0.05820486694574356,1,30
vision,9624,0,4,graph,4.774615168571472,4.771130159497261,4.777909256517887,0.006779097020626068,1,30
vision,9624,1,2,eager,8.624056354165077,8.584809489548206,8.667807094752789,0.08299760520458221,1,30
vision,9624,1,2,graph,3.151312470436096,3.147927112877369,3.1561609357595444,0.008233822882175446,1,30
vision,9624,1,4,eager,10.919248685240746,10.889404453337193,10.95572393387556,0.06631948053836823,1,30
vision,9624,1,4,graph,4.775203764438629,4.770760424435139,4.957025870680809,0.18626544624567032,1,30
vision,9624,2,2,eager,15.01450315117836,14.973197132349014,15.062565915286541,0.0893687829375267,1,30
vision,9624,2,2,graph,3.2896101474761963,3.172428347170353,3.292395733296871,0.11996738612651825,1,30
vision,9624,2,4,eager,19.34790425002575,19.274860620498657,19.408339634537697,0.1334790140390396,1,30
vision,9624,2,4,graph,4.786919802427292,4.782040603458881,4.790083505213261,0.008042901754379272,1,30
vision,9625,0,2,eager,14.96688649058342,14.904028736054897,15.004663728177547,0.10063499212265015,0,30
vision,9625,0,2,graph,3.285517916083336,3.1251851469278336,3.291330300271511,0.16614515334367752,0,30
vision,9625,0,4,eager,19.1936157643795,19.116430543363094,19.265557639300823,0.14912709593772888,0,30
vision,9625,0,4,graph,4.699559882283211,4.695478826761246,4.701998084783554,0.00651925802230835,0,30
vision,9625,1,2,eager,8.685028180480003,8.66503082215786,8.725871331989765,0.060840509831905365,0,30
vision,9625,1,2,graph,3.0963383615016937,3.092680126428604,3.101170063018799,0.008489936590194702,0,30
vision,9625,1,4,eager,11.046098545193672,11.025294661521912,11.106645688414574,0.08135102689266205,0,30
vision,9625,1,4,graph,4.691803827881813,4.687679000198841,4.9538640305399895,0.2661850303411484,0,30
vision,9625,2,2,eager,8.7208803743124,8.696509525179863,8.744355291128159,0.04784576594829559,0,30
vision,9625,2,2,graph,3.109363839030266,3.1014522537589073,3.269132226705551,0.16767997294664383,0,30
vision,9625,2,4,eager,11.12760417163372,11.114305816590786,11.16823498159647,0.0539291650056839,0,30
vision,9625,2,4,graph,4.690892994403839,4.686976782977581,4.696025513112545,0.00904873013496399,0,30
