task,calibration,updates,n,mean,sd,low,high,positive,negative
language,raw,512,3,1.84480234260615,0.17371861132803856,1.4132613889732712,2.2763432962390286,3,0
language,raw,4096,3,2.1059053196681297,0.19333216317986093,1.6256416022187685,2.586169037117491,3,0
vision,bn_only,512,5,0.9279999999999999,0.2557733371561641,0.6104154555527578,1.245584544447242,5,0
vision,bn_only,2048,5,0.47199999999999687,0.3721155734445962,0.009957489282893084,0.9340425107171006,4,1
vision,raw,512,5,1.6259999999999983,0.30013330371686425,1.253335282112812,1.9986647178871846,5,0
vision,raw,2048,5,1.2880000000000025,0.34412207136421386,0.8607160129997516,1.7152839870002534,5,0
