init_id,state,updates,adapt_T,infer_T,calibration,cal_T,cal_seed,n,ce_mean,ce_sd,accuracy_mean
A,shared_initial,0,,4,bn_cross,2.0,9840.0,1,1.4463183968031779,,0.6489
A,shared_initial,0,,4,bn_cross,4.0,9640.0,1,1.3181072585443967,,0.6674
A,shared_initial,0,,4,bn_cross,4.0,9740.0,1,1.3079214661131962,,0.6732
A,shared_initial,0,,4,bn_cross,4.0,9840.0,1,1.314676659304416,,0.6681
A,shared_initial,0,,4,raw,,,1,1.3832979446934304,,0.6675
B,adapted,512,2.0,2,bn_cross,2.0,9640.0,3,1.4275178119500593,0.005798936173282925,0.6407999999999999
B,adapted,512,2.0,2,raw,,,3,1.5246889329146904,0.02596197160173807,0.6314333333333333
B,adapted,512,2.0,4,bn_cross,4.0,9640.0,3,1.3071433341608092,0.0035531004061295757,0.6561333333333333
B,adapted,512,2.0,4,raw,,,3,1.4479554548871452,0.04144741095431028,0.6401
B,adapted,512,4.0,2,bn_cross,2.0,9640.0,3,1.585229614045052,0.004649326567860571,0.6282
B,adapted,512,4.0,2,raw,,,3,1.6476258021655805,0.014519214603270622,0.6166333333333333
B,adapted,512,4.0,4,bn_cross,4.0,9640.0,3,1.3312804649516299,0.0016868629731953443,0.6642
B,adapted,512,4.0,4,raw,,,3,1.4341739836693819,0.02449701204867076,0.6576333333333333
B,adapted,1024,2.0,2,bn_cross,2.0,9640.0,3,1.4173284324479096,0.0015203985346557976,0.6442666666666667
B,adapted,1024,2.0,2,raw,,,3,1.510322574887029,0.01471229790906639,0.6347999999999999
B,adapted,1024,2.0,4,bn_cross,4.0,9640.0,3,1.3109544991941249,0.0031838025897731343,0.6576
B,adapted,1024,2.0,4,raw,,,3,1.438347517113048,0.011207912625470997,0.6428333333333334
B,adapted,1024,4.0,2,bn_cross,2.0,9640.0,3,1.586430935967372,0.004683842530372623,0.6304
B,adapted,1024,4.0,2,raw,,,3,1.6458303302190422,0.025286924064496986,0.6192000000000001
B,adapted,1024,4.0,4,bn_cross,4.0,9640.0,3,1.326609558284985,0.003016146052973979,0.6661333333333334
B,adapted,1024,4.0,4,raw,,,3,1.4308653060400782,0.013472525392487535,0.6564666666666666
B,adapted,2048,2.0,2,bn_cross,2.0,9640.0,3,1.4109416377106643,0.005651568121676809,0.6465
B,adapted,2048,2.0,2,bn_cross,2.0,9740.0,3,1.410322005121057,0.00015037527333876475,0.6488999999999999
B,adapted,2048,2.0,2,bn_cross,2.0,9840.0,3,1.408653602971416,0.0015310176298169512,0.6457
B,adapted,2048,2.0,2,bn_cross,4.0,9640.0,3,1.4419205937427506,0.002691644888087466,0.6362333333333333
B,adapted,2048,2.0,2,bn_cross,4.0,9740.0,3,1.433189337091734,0.003732511768269354,0.6394666666666667
B,adapted,2048,2.0,2,bn_cross,4.0,9840.0,3,1.4413393561414365,0.0016939667473871028,0.6345333333333333
B,adapted,2048,2.0,2,raw,,,3,1.5002735618202754,0.023990958191972948,0.6393333333333334
