init_id,state,adapt_T,cal_seed,infer_T,metric,n,mean,sd,low,high,positive,negative
A,adapted,2.0,9640,2,CE_other_cal_minus_matched,5,0.06312427060110264,0.008256329788181716,0.05287268314582009,0.07337585805638518,5,0
A,adapted,2.0,9640,2,accuracy_matched_minus_other_pp,5,1.324000000000001,0.5060434763930837,0.6956640338368325,1.9523359661631694,5,0
A,adapted,2.0,9640,4,CE_other_cal_minus_matched,5,0.02382574028800244,0.005171717470141299,0.017404204896446538,0.03024727567955834,5,0
A,adapted,2.0,9640,4,accuracy_matched_minus_other_pp,5,0.16199999999999548,0.3028530997034712,-0.21404179064621975,0.5380417906462107,3,2
A,adapted,2.0,9740,2,CE_other_cal_minus_matched,5,0.057312150397947945,0.005658047943636764,0.05028675596622333,0.06433754482967255,5,0
A,adapted,2.0,9740,2,accuracy_matched_minus_other_pp,5,1.3659999999999985,0.2530414985728624,1.0518074811705462,1.6801925188294509,5,0
A,adapted,2.0,9740,4,CE_other_cal_minus_matched,5,0.030953579132245456,0.004371105750816629,0.025526134489115015,0.0363810237753759,5,0
A,adapted,2.0,9740,4,accuracy_matched_minus_other_pp,5,0.4479999999999995,0.43740141746455075,-0.09510559282902831,0.9911055928290273,3,1
A,adapted,2.0,9840,2,CE_other_cal_minus_matched,5,0.06004950165911342,0.003937690092731812,0.055160213634884686,0.06493878968334216,5,0
A,adapted,2.0,9840,2,accuracy_matched_minus_other_pp,5,1.5579999999999994,0.19829271292713027,1.3117870772522275,1.8042129227477712,5,0
A,adapted,2.0,9840,4,CE_other_cal_minus_matched,5,0.026440922633389395,0.0017315721313217207,0.024290891857634254,0.028590953409144537,5,0
A,adapted,2.0,9840,4,accuracy_matched_minus_other_pp,5,0.39999999999999813,0.17902513789967997,0.17771093149650127,0.622289068503495,5,0
A,adapted,4.0,9640,2,CE_other_cal_minus_matched,5,-0.01805529551230838,0.0035934596954810753,-0.02251716504518349,-0.013593425979433266,0,5
A,adapted,4.0,9640,2,accuracy_matched_minus_other_pp,5,0.4800000000000004,0.34971416900091357,0.04577250668981925,0.9142274933101816,5,0
A,adapted,4.0,9640,4,CE_other_cal_minus_matched,5,0.13050705269044038,0.0029812647206550504,0.126805323617688,0.13420878176319276,5,0
A,adapted,4.0,9640,4,accuracy_matched_minus_other_pp,5,1.8260000000000034,0.15241391012634067,1.636753134970662,2.015246865029345,5,0
A,adapted,4.0,9740,2,CE_other_cal_minus_matched,5,-0.020709695366239168,0.0026518541185654395,-0.02400240715375025,-0.017416983578728087,0,5
A,adapted,4.0,9740,2,accuracy_matched_minus_other_pp,5,0.12400000000000189,0.3275362575349501,-0.28268997908754195,0.5306899790875457,3,2
A,adapted,4.0,9740,4,CE_other_cal_minus_matched,5,0.1376057091567165,0.0009965524683226382,0.13636832583447916,0.13884309247895382,5,0
A,adapted,4.0,9740,4,accuracy_matched_minus_other_pp,5,2.2439999999999993,0.33095316889251664,1.8330673650947116,2.654932634905287,5,0
A,adapted,4.0,9840,2,CE_other_cal_minus_matched,5,-0.021178609500629796,0.00556867716353949,-0.028093035452216236,-0.014264183549043356,0,5
A,adapted,4.0,9840,2,accuracy_matched_minus_other_pp,5,0.3520000000000012,0.35223571653084973,-0.08535840809786133,0.7893584080978637,5,0
A,adapted,4.0,9840,4,CE_other_cal_minus_matched,5,0.1352912239399459,0.0011325105920456584,0.13388502631021837,0.1366974215696734,5,0
A,adapted,4.0,9840,4,accuracy_matched_minus_other_pp,5,2.1100000000000008,0.1394632568098113,1.936833494947012,2.2831665050529892,5,0
A,shared_initial,,9640,2,CE_other_cal_minus_matched,1,-0.0022432692856992897,,,,0,1
A,shared_initial,,9640,2,accuracy_matched_minus_other_pp,1,1.0599999999999943,,,,1,0
A,shared_initial,,9640,4,CE_other_cal_minus_matched,1,0.1299978929905219,,,,1,0
A,shared_initial,,9640,4,accuracy_matched_minus_other_pp,1,1.9900000000000029,,,,1,0
A,shared_initial,,9740,2,CE_other_cal_minus_matched,1,-0.013860824275459205,,,,0,1
A,shared_initial,,9740,2,accuracy_matched_minus_other_pp,1,0.34000000000000696,,,,1,0
A,shared_initial,,9740,4,CE_other_cal_minus_matched,1,0.1400155915002339,,,,1,0
A,shared_initial,,9740,4,accuracy_matched_minus_other_pp,1,2.3900000000000032,,,,1,0
A,shared_initial,,9840,2,CE_other_cal_minus_matched,1,-0.0009257374963722587,,,,0,1
A,shared_initial,,9840,2,accuracy_matched_minus_other_pp,1,1.2599999999999945,,,,1,0
A,shared_initial,,9840,4,CE_other_cal_minus_matched,1,0.13164173749876196,,,,1,0
A,shared_initial,,9840,4,accuracy_matched_minus_other_pp,1,1.9199999999999995,,,,1,0
B,adapted,2.0,9640,2,CE_other_cal_minus_matched,3,0.03097895603208641,0.0031240209499304866,0.023218457778066,0.03873945428610682,3,0
B,adapted,2.0,9640,2,accuracy_matched_minus_other_pp,3,1.0266666666666684,0.4178915329763574,-0.01143344982105754,2.0647667831543943,3,0
B,adapted,2.0,9640,4,CE_other_cal_minus_matched,3,0.024569218710105645,0.005106272775232179,0.011884533942667372,0.03725390347754392,3,0
B,adapted,2.0,9640,4,accuracy_matched_minus_other_pp,3,0.44666666666666927,0.28041635710730506,-0.24992618101523495,1.1432595143485735,3,0
B,adapted,2.0,9740,2,CE_other_cal_minus_matched,3,0.022867331970677068,0.003881020208010625,0.013226343311892763,0.03250832062946137,3,0
B,adapted,2.0,9740,2,accuracy_matched_minus_other_pp,3,0.943333333333333,0.27465129406819877,0.26106169615749075,1.6256049705091753,3,0
B,adapted,2.0,9740,4,CE_other_cal_minus_matched,3,0.03239457416674707,0.001690106519549768,0.028196116824658394,0.03659303150883574,3,0
B,adapted,2.0,9740,4,accuracy_matched_minus_other_pp,3,0.7033333333333299,0.15176736583776304,0.32632229644273403,1.080344370223926,3,0
B,adapted,2.0,9840,2,CE_other_cal_minus_matched,3,0.03268575317002057,0.0025246156861056124,0.026414260136489186,0.038957246203551954,3,0
B,adapted,2.0,9840,2,accuracy_matched_minus_other_pp,3,1.1166666666666696,0.4424176006143287,0.01764042063851967,2.2156929126948195,3,0
B,adapted,2.0,9840,4,CE_other_cal_minus_matched,3,0.024632921563631244,0.001289639659824407,0.021429279050092568,0.02783656407716992,3,0
B,adapted,2.0,9840,4,accuracy_matched_minus_other_pp,3,0.5700000000000002,0.22516660498395488,0.010655145132568045,1.1293448548674323,3,0
B,adapted,4.0,9640,2,CE_other_cal_minus_matched,3,-0.045584112769768925,0.00641056409043588,-0.06150883678041315,-0.029659388759124702,0,3
B,adapted,4.0,9640,2,accuracy_matched_minus_other_pp,3,-0.09333333333333786,0.26388128644019987,-0.7488507884046293,0.5621841217379536,1,2
B,adapted,4.0,9640,4,CE_other_cal_minus_matched,3,0.11715555118097698,0.007546362312952752,0.0984093479728396,0.13590175438911437,3,0
B,adapted,4.0,9640,4,accuracy_matched_minus_other_pp,3,2.096666666666669,0.47479820274863277,0.917202545747511,3.276130787585827,3,0
B,adapted,4.0,9740,2,CE_other_cal_minus_matched,3,-0.04532951335711403,0.010398601596091418,-0.0711610717314319,-0.019497954982796165,0,3
B,adapted,4.0,9740,2,accuracy_matched_minus_other_pp,3,-0.17333333333333276,0.3467467856135516,-1.0347000999041631,0.6880334332374975,1,2
B,adapted,4.0,9740,4,CE_other_cal_minus_matched,3,0.11956526681799835,0.008795476471340354,0.09771609202272906,0.14141444161326766,3,0
B,adapted,4.0,9740,4,accuracy_matched_minus_other_pp,3,1.809999999999997,0.25514701644345644,1.176179674412225,2.443820325587769,3,0
B,adapted,4.0,9840,2,CE_other_cal_minus_matched,3,-0.04652314051237968,0.010081127955637568,-0.07156605064395948,-0.021480230380799884,0,3
B,adapted,4.0,9840,2,accuracy_matched_minus_other_pp,3,-0.060000000000004494,0.21517434791349863,-0.5945227122532124,0.4745227122532034,1,2
B,adapted,4.0,9840,4,CE_other_cal_minus_matched,3,0.11715467396262873,0.006959190810503708,0.09986708562699012,0.13444226229826733,3,0
B,adapted,4.0,9840,4,accuracy_matched_minus_other_pp,3,1.8199999999999994,0.2946183972531209,1.088127328808082,2.5518726711919166,3,0
B,shared_initial,,9640,2,CE_other_cal_minus_matched,1,-0.03677058374048214,,,,0,1
B,shared_initial,,9640,2,accuracy_matched_minus_other_pp,1,-0.40999999999999925,,,,0,1
B,shared_initial,,9640,4,CE_other_cal_minus_matched,1,0.11482398021277618,,,,1,0
B,shared_initial,,9640,4,accuracy_matched_minus_other_pp,1,2.200000000000002,,,,1,0
B,shared_initial,,9740,2,CE_other_cal_minus_matched,1,-0.04314549098487497,,,,0,1
