condition,infer_T,n,mean,sd,low,high,positive,negative
bn,2,5,0.16721062370630682,0.011160794900098699,0.15335266648751808,0.18106858092509556,5,0
bn,4,5,-0.016040984346939968,0.0039793713819987865,-0.02098202652745022,-0.011099942166429715,0,5
raw,2,5,0.15369797025097537,0.010501795253728928,0.140658269167913,0.16673767133403775,5,0
raw,4,5,0.0032213005434488908,0.00968807188061999,-0.008808029522727186,0.015250630609624966,3,2
