init_id,condition,infer_T,updates,seed,contrast,value
A,raw,2,2048,9625,accuracy_gain_a4_pp,0.7399999999999962
A,raw,4,512,9621,P,0.017183192427526306
A,raw,4,512,9621,accuracy_target_minus_reuse_pp,1.2699999999999934
A,raw,4,512,9621,G_a2,-0.026583711363712847
A,raw,4,512,9621,accuracy_gain_a2_pp,-1.849999999999996
A,raw,4,512,9621,G_a4,-0.009400518936186542
A,raw,4,512,9621,accuracy_gain_a4_pp,-0.5800000000000027
A,raw,4,512,9622,P,0.013970326181524495
A,raw,4,512,9622,accuracy_target_minus_reuse_pp,1.8899999999999917
A,raw,4,512,9622,G_a2,-0.049684267755271794
A,raw,4,512,9622,accuracy_gain_a2_pp,-2.3799999999999932
A,raw,4,512,9622,G_a4,-0.0357139415737473
A,raw,4,512,9622,accuracy_gain_a4_pp,-0.49000000000000155
A,raw,4,512,9623,P,0.03298569500477755
A,raw,4,512,9623,accuracy_target_minus_reuse_pp,1.7900000000000027
A,raw,4,512,9623,G_a2,-0.10200775549804098
A,raw,4,512,9623,accuracy_gain_a2_pp,-2.7900000000000036
A,raw,4,512,9623,G_a4,-0.06902206049326343
A,raw,4,512,9623,accuracy_gain_a4_pp,-1.0000000000000009
A,raw,4,512,9624,P,0.02511665169662458
A,raw,4,512,9624,accuracy_target_minus_reuse_pp,1.970000000000005
A,raw,4,512,9624,G_a2,-0.05418090711699919
A,raw,4,512,9624,accuracy_gain_a2_pp,-2.3900000000000032
A,raw,4,512,9624,G_a4,-0.029064255420374607
A,raw,4,512,9624,accuracy_gain_a4_pp,-0.41999999999999815
A,raw,4,512,9625,P,0.014919285063434096
A,raw,4,512,9625,accuracy_target_minus_reuse_pp,1.6400000000000081
A,raw,4,512,9625,G_a2,-0.015346370109391883
A,raw,4,512,9625,accuracy_gain_a2_pp,-1.4900000000000024
A,raw,4,512,9625,G_a4,-0.00042708504595778685
A,raw,4,512,9625,accuracy_gain_a4_pp,0.15000000000000568
A,raw,4,1024,9621,P,-0.0014635587262570304
A,raw,4,1024,9621,accuracy_target_minus_reuse_pp,1.3700000000000045
A,raw,4,1024,9621,G_a2,-0.009991402519808679
A,raw,4,1024,9621,accuracy_gain_a2_pp,-1.6199999999999992
A,raw,4,1024,9621,G_a4,-0.011454961246065709
A,raw,4,1024,9621,accuracy_gain_a4_pp,-0.24999999999999467
A,raw,4,1024,9622,P,0.009513814738486115
A,raw,4,1024,9622,accuracy_target_minus_reuse_pp,2.0099999999999896
A,raw,4,1024,9622,G_a2,-0.03311065317504114
A,raw,4,1024,9622,accuracy_gain_a2_pp,-2.279999999999993
A,raw,4,1024,9622,G_a4,-0.023596838436555023
A,raw,4,1024,9622,accuracy_gain_a4_pp,-0.27000000000000357
A,raw,4,1024,9623,P,0.013179762647336002
A,raw,4,1024,9623,accuracy_target_minus_reuse_pp,1.5900000000000025
A,raw,4,1024,9623,G_a2,-0.005755193775205392
A,raw,4,1024,9623,accuracy_gain_a2_pp,-1.7299999999999982
A,raw,4,1024,9623,G_a4,0.00742456887213061
A,raw,4,1024,9623,accuracy_gain_a4_pp,-0.13999999999999568
A,raw,4,1024,9624,P,0.026344691369577733
A,raw,4,1024,9624,accuracy_target_minus_reuse_pp,1.8799999999999928
A,raw,4,1024,9624,G_a2,-0.012941982715413802
A,raw,4,1024,9624,accuracy_gain_a2_pp,-1.869999999999994
A,raw,4,1024,9624,G_a4,0.01340270865416393
A,raw,4,1024,9624,accuracy_gain_a4_pp,0.009999999999998899
A,raw,4,1024,9625,P,-0.008970075443008652
A,raw,4,1024,9625,accuracy_target_minus_reuse_pp,1.1699999999999933
A,raw,4,1024,9625,G_a2,0.0030621841939806327
A,raw,4,1024,9625,accuracy_gain_a2_pp,-1.3499999999999956
A,raw,4,1024,9625,G_a4,-0.005907891249028019
A,raw,4,1024,9625,accuracy_gain_a4_pp,-0.18000000000000238
A,raw,4,2048,9621,P,-2.1104068541832888e-05
A,raw,4,2048,9621,accuracy_target_minus_reuse_pp,1.1299999999999977
A,raw,4,2048,9621,G_a2,-0.021539390357397492
A,raw,4,2048,9621,accuracy_gain_a2_pp,-1.3499999999999956
A,raw,4,2048,9621,G_a4,-0.021560494425939325
A,raw,4,2048,9621,accuracy_gain_a4_pp,-0.21999999999999797
A,raw,4,2048,9622,P,0.006156685102311821
A,raw,4,2048,9622,accuracy_target_minus_reuse_pp,1.9199999999999995
A,raw,4,2048,9622,G_a2,-0.02945422802951647
A,raw,4,2048,9622,accuracy_gain_a2_pp,-1.9199999999999995
A,raw,4,2048,9622,G_a4,-0.02329754292720465
A,raw,4,2048,9622,accuracy_gain_a4_pp,0.0
A,raw,4,2048,9623,P,0.017731180683017156
A,raw,4,2048,9623,accuracy_target_minus_reuse_pp,1.6700000000000048
A,raw,4,2048,9623,G_a2,0.004731343258381759
