task,checkpoint,checkpoint_sha256,source_id,init_id,initialization_seed,state,seed,adapt_T,lr,updates,role,engine,id,infer_T,calibration,ce,accuracy,actual_engine,targets,cal_T,cal_seed,batch,split,identity_path,gpu,legacy_id
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step512.pt,aeca30d6607c7dbef07e6aa4a6c66fe067cb347d82da050a80fb12a3df0144c1,A_s9621_a2_K512,A,12450.0,adapted,9621.0,2.0,2e-05,512,primary,graph,A_s9621_a2_K512_c4_e4_bn9640,4,bn_cross,1.2803707470398222,0.6653,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step1024.pt,93a6d6bab8fd1224f5f2e1afea508cfbfa5c7c27130297ac268b639d65a0dc93,A_s9621_a2_K1024,A,12450.0,adapted,9621.0,2.0,2e-05,1024,primary,graph,A_s9621_a2_K1024_e2_raw,2,raw,1.4727872005666607,0.6386,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step1024.pt,93a6d6bab8fd1224f5f2e1afea508cfbfa5c7c27130297ac268b639d65a0dc93,A_s9621_a2_K1024,A,12450.0,adapted,9621.0,2.0,2e-05,1024,primary,graph,A_s9621_a2_K1024_e4_raw,4,raw,1.393289347213239,0.6513,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step1024.pt,93a6d6bab8fd1224f5f2e1afea508cfbfa5c7c27130297ac268b639d65a0dc93,A_s9621_a2_K1024,A,12450.0,adapted,9621.0,2.0,2e-05,1024,primary,graph,A_s9621_a2_K1024_c2_e2_bn9640,2,bn_cross,1.4099340088968282,0.6427,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step1024.pt,93a6d6bab8fd1224f5f2e1afea508cfbfa5c7c27130297ac268b639d65a0dc93,A_s9621_a2_K1024,A,12450.0,adapted,9621.0,2.0,2e-05,1024,primary,graph,A_s9621_a2_K1024_c4_e4_bn9640,4,bn_cross,1.285330761302053,0.6619,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_e2_raw,2,raw,1.4865548161927145,0.6422,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_e4_raw,4,raw,1.4048373350508279,0.654,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c2_e2_bn9640,2,bn_cross,1.3870781679054722,0.6519,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c2_e4_bn9640,4,bn_cross,1.309885523746052,0.6623,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c4_e2_bn9640,2,bn_cross,1.4624965502519975,0.6319,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c4_e4_bn9640,4,bn_cross,1.2933560370124295,0.6607,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c2_e2_bn9740,2,bn_cross,1.3911278493671562,0.6508,graph,10000,2.0,9740.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c2_e4_bn9740,4,bn_cross,1.3198480160620674,0.6616,graph,10000,2.0,9740.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c4_e2_bn9740,2,bn_cross,1.4550584959941917,0.6362,graph,10000,4.0,9740.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c4_e4_bn9740,4,bn_cross,1.2918549824641115,0.6612,graph,10000,4.0,9740.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c2_e2_bn9840,2,bn_cross,1.3925066508061252,0.6508,graph,10000,2.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c2_e4_bn9840,4,bn_cross,1.318629526069248,0.6585,graph,10000,2.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c4_e2_bn9840,2,bn_cross,1.458136319663166,0.6356,graph,10000,4.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T2_lr2e-05/step2048.pt,1abf8baf50282852fb0c8f56ddb4cd1fe48e18f9a37d333ac75519c576c569e5,A_s9621_a2_K2048,A,12450.0,adapted,9621.0,2.0,2e-05,2048,primary,graph,A_s9621_a2_K2048_c4_e4_bn9840,4,bn_cross,1.2927676180440584,0.6595,graph,10000,4.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step512.pt,0eff7e4b92dc83cd7fbb75ebb62deafc80c91505e1f1d69cad1ee052dfaf3888,A_s9621_a4_K512,A,12450.0,adapted,9621.0,4.0,2e-05,512,primary,graph,A_s9621_a4_K512_e2_raw,2,raw,1.631406554058753,0.6196,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step512.pt,0eff7e4b92dc83cd7fbb75ebb62deafc80c91505e1f1d69cad1ee052dfaf3888,A_s9621_a4_K512,A,12450.0,adapted,9621.0,4.0,2e-05,512,primary,graph,A_s9621_a4_K512_e4_raw,4,raw,1.392698463629617,0.6617,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step512.pt,0eff7e4b92dc83cd7fbb75ebb62deafc80c91505e1f1d69cad1ee052dfaf3888,A_s9621_a4_K512,A,12450.0,adapted,9621.0,4.0,2e-05,512,primary,graph,A_s9621_a4_K512_c2_e2_bn9640,2,bn_cross,1.5679175748030656,0.6323,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step512.pt,0eff7e4b92dc83cd7fbb75ebb62deafc80c91505e1f1d69cad1ee052dfaf3888,A_s9621_a4_K512,A,12450.0,adapted,9621.0,4.0,2e-05,512,primary,graph,A_s9621_a4_K512_c4_e4_bn9640,4,bn_cross,1.3142091567477212,0.6675,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step1024.pt,cdf5fe26032b9cce77f365907006642d32a8493f39e8af836c87eb2a04d96780,A_s9621_a4_K1024,A,12450.0,adapted,9621.0,4.0,2e-05,1024,primary,graph,A_s9621_a4_K1024_e2_raw,2,raw,1.6381470872174948,0.6194,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step1024.pt,cdf5fe26032b9cce77f365907006642d32a8493f39e8af836c87eb2a04d96780,A_s9621_a4_K1024,A,12450.0,adapted,9621.0,4.0,2e-05,1024,primary,graph,A_s9621_a4_K1024_e4_raw,4,raw,1.394752905939496,0.665,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step1024.pt,cdf5fe26032b9cce77f365907006642d32a8493f39e8af836c87eb2a04d96780,A_s9621_a4_K1024,A,12450.0,adapted,9621.0,4.0,2e-05,1024,primary,graph,A_s9621_a4_K1024_c2_e2_bn9640,2,bn_cross,1.568393117465591,0.6306,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step1024.pt,cdf5fe26032b9cce77f365907006642d32a8493f39e8af836c87eb2a04d96780,A_s9621_a4_K1024,A,12450.0,adapted,9621.0,4.0,2e-05,1024,primary,graph,A_s9621_a4_K1024_c4_e4_bn9640,4,bn_cross,1.3158276390619577,0.6674,graph,10000,4.0,9640.0,,,,,
