id,mean_ce_change,max_item_loss_change,prediction_changes,targets_and_labels_equal
legacy_vision_s9621_K2048_a4_e2_raw_eager,0.0007678221612237301,0.714144229888916,23,True
legacy_vision_s9621_K2048_a4_e4_raw_eager,3.937691897148987e-05,0.6718710660934448,10,True
legacy_vision_s9622_K2048_a2_e2_raw_eager,9.111702069630745e-05,0.9943046569824219,31,True
legacy_vision_s9622_K2048_a2_e4_raw_eager,-0.00014435394629841447,0.7031965255737305,6,True
legacy_vision_s9622_K2048_a4_e2_raw_eager,-0.000640501462854326,1.1149280071258545,25,True
legacy_vision_s9622_K2048_a4_e4_raw_eager,-0.00012360761119056818,1.6171000003814697,7,True
legacy_vision_s9623_K2048_a2_e2_raw_eager,3.4782328641735916e-06,1.4099026918411255,27,True
legacy_vision_s9623_K2048_a2_e4_raw_eager,8.97367648780012e-05,1.1131608486175537,8,True
legacy_vision_s9623_K2048_a4_e2_raw_eager,-0.00024099175073222234,1.5752143859863281,29,True
legacy_vision_s9623_K2048_a4_e4_raw_eager,-3.7819741852684885e-05,0.4711923599243164,9,True
legacy_vision_s9624_K2048_a2_e2_raw_eager,-0.00038639040142296466,1.1326818466186523,21,True
legacy_vision_s9624_K2048_a2_e4_raw_eager,-0.00014696765858679406,0.6039304733276367,7,True
legacy_vision_s9624_K2048_a4_e2_raw_eager,-0.00035657777227449117,0.8481011390686035,27,True
legacy_vision_s9624_K2048_a4_e4_raw_eager,0.00015484024854361955,0.5060477256774902,9,True
legacy_vision_s9625_K2048_a2_e2_raw_eager,0.00012390734180822705,1.1320624351501465,24,True
legacy_vision_s9625_K2048_a2_e4_raw_eager,-0.0003275121101644629,0.7553508281707764,6,True
legacy_vision_s9625_K2048_a4_e2_raw_eager,-0.0004036569554357605,1.295931339263916,26,True
legacy_vision_s9625_K2048_a4_e4_raw_eager,-9.023819379505582e-05,0.70310378074646,15,True
legacy_vision_initial_e2_bn_only_eager,0.002349731987016268,1.9320738315582275,1569,True
legacy_vision_initial_e4_bn_only_eager,0.0033363747929455734,1.3310925960540771,928,True
legacy_vision_s9621_K512_a2_e2_bn_only_eager,-0.0018628095542720935,2.659803032875061,1486,True
legacy_vision_s9621_K512_a2_e4_bn_only_eager,-0.0025784568159812338,1.2683353424072266,909,True
legacy_vision_s9621_K512_a4_e2_bn_only_eager,-0.0017678764406590108,1.655747413635254,1582,True
legacy_vision_s9621_K512_a4_e4_bn_only_eager,0.0002709232351043589,1.5462164878845215,988,True
legacy_vision_s9622_K512_a2_e2_bn_only_eager,-0.0026251912467647465,2.366182327270508,1388,True
legacy_vision_s9622_K512_a2_e4_bn_only_eager,0.002488925769104311,1.5419459342956543,916,True
legacy_vision_s9622_K512_a4_e2_bn_only_eager,-3.6330724344724175e-05,1.6409356594085693,1550,True
legacy_vision_s9622_K512_a4_e4_bn_only_eager,0.0023846159789711052,1.445505142211914,931,True
legacy_vision_s9623_K512_a2_e2_bn_only_eager,0.002247371667809972,2.164524793624878,1465,True
legacy_vision_s9623_K512_a2_e4_bn_only_eager,0.0014230950073861326,1.505777359008789,924,True
legacy_vision_s9623_K512_a4_e2_bn_only_eager,-0.0008212237234692665,1.8603086471557617,1545,True
legacy_vision_s9623_K512_a4_e4_bn_only_eager,-0.0003051735212562523,1.1750295162200928,929,True
legacy_vision_s9624_K512_a2_e2_bn_only_eager,-0.0012833335095667753,2.106839179992676,1423,True
legacy_vision_s9624_K512_a2_e4_bn_only_eager,1.7141414654808784e-05,1.6063261032104492,926,True
legacy_vision_s9624_K512_a4_e2_bn_only_eager,0.0019820630709406206,1.639419674873352,1556,True
legacy_vision_s9624_K512_a4_e4_bn_only_eager,-0.000257902415120137,1.9320913553237915,948,True
legacy_vision_s9625_K512_a2_e2_bn_only_eager,0.005854514443781156,1.7478172779083252,1453,True
legacy_vision_s9625_K512_a2_e4_bn_only_eager,-0.0006546861420588801,1.2967114448547363,967,True
legacy_vision_s9625_K512_a4_e2_bn_only_eager,-0.0016727617615834856,1.6790614128112793,1561,True
legacy_vision_s9625_K512_a4_e4_bn_only_eager,0.0016470080331316694,1.3522305488586426,901,True
legacy_vision_s9621_K2048_a2_e2_bn_only_eager,-0.0014569709338947412,1.5949478149414062,1358,True
legacy_vision_s9621_K2048_a2_e4_bn_only_eager,-0.0016070742501266277,1.3565856218338013,896,True
legacy_vision_s9621_K2048_a4_e2_bn_only_eager,-0.0018381618974963043,1.951819658279419,1609,True
legacy_vision_s9621_K2048_a4_e4_bn_only_eager,-0.0015463968946132223,1.4202425479888916,947,True
legacy_vision_s9622_K2048_a2_e2_bn_only_eager,0.0014211721306898184,1.590364933013916,1421,True
legacy_vision_s9622_K2048_a2_e4_bn_only_eager,0.00028383722609715,1.4172325134277344,929,True
legacy_vision_s9622_K2048_a4_e2_bn_only_eager,0.0005829107564407909,1.7010831832885742,1568,True
legacy_vision_s9622_K2048_a4_e4_bn_only_eager,-0.0007045210082317066,1.2844576835632324,924,True
