seed,updates,P2_bn_minus_raw,P4_bn_minus_raw,I_bn_minus_raw,native_gap_bn_minus_raw,gap_recovery_bn_minus_raw,gap_recovery_percent_bn_minus_raw,inference_T2_minus_T4_after_a2_bn_minus_raw,inference_T2_minus_T4_after_a4_bn_minus_raw,gain_a2_e2_bn_minus_raw,gain_a2_e4_bn_minus_raw,gain_a4_e2_bn_minus_raw,gain_a4_e4_bn_minus_raw
9621,512,-0.01537262599407141,-0.03138368827117377,-0.04675631426524518,0.0257404940159236,-0.03237855649834409,-11.305120835992803,0.05712418228709737,0.010367868021852189,-0.012296148456720557,0.051466096312797305,0.0030764775373508524,0.020082408041623534
9621,2048,0.017060173946525703,-0.02328624744713892,-0.006226073500613216,0.002660762130562322,-0.009298824612982814,-1.9897758157093293,0.02594700957770124,0.019720936077088025,0.015480356811289564,0.0480654288714113,-0.001579817135236139,0.02477918142427238
9622,512,-0.004652678114920761,-0.05708234398647316,-0.06173502210139392,0.005536688720970462,-0.012174751203390954,-3.2929444000410513,0.06261903270744362,0.000884010606049701,0.010684732973133215,0.07994182816299733,0.015337411088053976,0.02285948417652417
9622,2048,-0.0020868024096358795,-0.00730801617084631,-0.00939481858048219,0.009570101463957759,-0.01620816394637825,-4.6385451489365295,0.01687811763480407,0.007483299054321879,0.01927665467183104,0.0427928347890556,0.02136345708146692,0.03548481861820929
9623,512,0.0051847043906338985,-0.06766892942943392,-0.06248422503880002,0.01287658215416565,-0.019514644636586143,-6.286569433797673,0.08054551158359957,0.01806128654479955,0.04082280077459299,0.12800637484061306,0.035638096383959095,0.060337445411179136
9623,2048,0.01644217306831841,-0.03162187264500238,-0.01517969957668397,0.008343611568701448,-0.01498167405112194,-4.209503017505114,0.03996548421370383,0.02478578463701986,-0.025480524980649344,0.021123021715474977,-0.041922698048967755,-0.010498850929527404
9624,512,-0.0015247137747471662,-0.051452816122770306,-0.05297752989751747,0.009310883649159107,-0.0159489461315796,-4.788655219538924,0.060763699771929414,0.007786169874411941,0.005961902694171295,0.0733636649485212,0.007486616468918461,0.021910848825750895
9624,2048,0.004156607768428522,-0.020503146517317328,-0.016346538748888806,0.0025655677304605717,-0.009203630212881064,-1.8610615954666088,0.0230687142477779,0.006722175498889094,0.00013433665984763365,0.029841113390046026,-0.004022271108580888,0.009337966872728698
9625,512,0.006313522296794716,-0.05348416988478877,-0.04717064758799405,0.002720674096815978,-0.00935873657923647,-2.1985994060009446,0.056204843981604746,0.009034196393610694,-0.025099850382958477,0.03774305608106676,-0.03141337267975319,-0.015741113803722007
9625,2048,0.00784690058837878,-0.013029099985887305,-0.0051821993975085245,0.0071461844362668,-0.013784246918687293,-3.6827208357779,0.020175284422154105,0.01499308502464558,0.0005259043107390671,0.027339251215313665,-0.007320996277639713,0.01431015122942636
