checkpoint_id,T,batch,engine,wall_ms,test_ce,gpu_id
formal_T2_seed8621_step4096,2,1,eager,13.118240982294083,2.6867735869830938,0
formal_T2_seed8621_step4096,2,1,graph,3.2543502748012543,2.6867735869830938,0
formal_T2_seed8622_step4096,2,1,eager,13.495534658432007,2.6774280021644823,1
formal_T2_seed8622_step4096,2,1,graph,3.251446411013603,2.6774280021644823,1
formal_T2_seed8623_step4096,2,1,eager,14.087758958339691,2.6772048786872653,0
formal_T2_seed8623_step4096,2,1,graph,3.246733918786049,2.6772048786872653,0
formal_T4_seed8621_step4096,4,1,eager,18.19806545972824,2.549171707799827,0
formal_T4_seed8621_step4096,4,1,graph,4.909029230475426,2.549171707799827,0
formal_T4_seed8622_step4096,4,1,eager,17.687533050775528,2.549861042041401,1
formal_T4_seed8622_step4096,4,1,graph,4.917331039905548,2.549861042041401,1
formal_T4_seed8623_step4096,4,1,eager,19.007306545972824,2.5422943416097517,0
formal_T4_seed8623_step4096,4,1,graph,4.897003993391991,2.5422943416097517,0
formal_T2_seed8621_step4096,2,4,eager,16.037845984101295,2.6867735869830938,0
formal_T2_seed8621_step4096,2,4,graph,6.325604394078255,2.6867735869830938,0
formal_T2_seed8622_step4096,2,4,eager,16.465438529849052,2.6774280021644823,1
formal_T2_seed8622_step4096,2,4,graph,6.302621215581894,2.6774280021644823,1
formal_T2_seed8623_step4096,2,4,eager,16.68078824877739,2.6772048786872653,0
formal_T2_seed8623_step4096,2,4,graph,6.310123950242996,2.6772048786872653,0
formal_T4_seed8621_step4096,4,4,eager,23.183979094028473,2.549171707799827,0
formal_T4_seed8621_step4096,4,4,graph,10.031444951891899,2.549171707799827,0
formal_T4_seed8622_step4096,4,4,eager,22.30929210782051,2.549861042041401,1
formal_T4_seed8622_step4096,4,4,graph,10.061316192150116,2.549861042041401,1
formal_T4_seed8623_step4096,4,4,eager,25.170963257551193,2.5422943416097517,0
formal_T4_seed8623_step4096,4,4,graph,10.016106069087982,2.5422943416097517,0
