id,T,seed,stage,step,training_seconds,checkpoint,gpu,split,ce,accuracy,texts,masked_tokens,accuracy_pct,lr
formal_T2_seed8622_step2048,2,8622,formal,2048,1172.9527894109488,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step2048.pt,1,test,2.7092053687985143,0.5033918984870669,4406,40980,50.33918984870669,2e-05
formal_T2_seed8622_step2048,2,8622,formal,2048,1172.9527894109488,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step2048.pt,1,supplementary,2.803034674942382,0.49906191369606,233,2132,49.906191369606,2e-05
formal_T2_seed8622_step2816,2,8622,formal,2816,1640.1250940300524,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step2816.pt,1,test,2.691128430823287,0.5083943387018057,4406,40980,50.83943387018057,2e-05
formal_T2_seed8622_step2816,2,8622,formal,2816,1640.1250940300524,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step2816.pt,1,supplementary,2.8165212196435983,0.49953095684803,233,2132,49.953095684803,2e-05
formal_T2_seed8622_step4096,2,8622,formal,4096,2195.6555150300264,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step4096.pt,1,test,2.6774280021644823,0.5107613469985359,4406,40980,51.07613469985359,2e-05
formal_T2_seed8622_step4096,2,8622,formal,4096,2195.6555150300264,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8622_lr2e-05/step4096.pt,1,supplementary,2.7619914598133954,0.49906191369606,233,2132,49.906191369606,2e-05
formal_T2_seed8623_step512,2,8623,formal,512,218.85412453114986,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step512.pt,0,test,2.7765804605379887,0.4989263055148853,4406,40980,49.89263055148853,2e-05
formal_T2_seed8623_step512,2,8623,formal,512,218.85412453114986,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step512.pt,0,supplementary,2.8930688039111376,0.4901500938086304,233,2132,49.01500938086304,2e-05
formal_T2_seed8623_step768,2,8623,formal,768,328.8222716599703,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step768.pt,0,test,2.7489464888558484,0.499170326988775,4406,40980,49.9170326988775,2e-05
formal_T2_seed8623_step768,2,8623,formal,768,328.8222716599703,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step768.pt,0,supplementary,2.8549345052935617,0.49390243902439024,233,2132,49.390243902439025,2e-05
formal_T2_seed8623_step1024,2,8623,formal,1024,437.20137936994433,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step1024.pt,0,test,2.7449747846660575,0.4976329917032699,4406,40980,49.76329917032699,2e-05
formal_T2_seed8623_step1024,2,8623,formal,1024,437.20137936994433,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step1024.pt,0,supplementary,2.8554150839012964,0.4892120075046904,233,2132,48.92120075046904,2e-05
formal_T2_seed8623_step1792,2,8623,formal,1792,765.5755442343652,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step1792.pt,0,test,2.712194149784213,0.5058077110785749,4406,40980,50.580771107857494,2e-05
formal_T2_seed8623_step1792,2,8623,formal,1792,765.5755442343652,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step1792.pt,0,supplementary,2.830661544852364,0.4831144465290807,233,2132,48.31144465290807,2e-05
formal_T2_seed8623_step2048,2,8623,formal,2048,879.5076984986663,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step2048.pt,0,test,2.7062068305151032,0.504953635919961,4406,40980,50.4953635919961,2e-05
formal_T2_seed8623_step2048,2,8623,formal,2048,879.5076984986663,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step2048.pt,0,supplementary,2.793495728251634,0.50187617260788,233,2132,50.187617260787995,2e-05
formal_T2_seed8623_step3840,2,8623,formal,3840,1659.4260549619794,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step3840.pt,0,test,2.6876806698188416,0.5072230356271352,4406,40980,50.72230356271352,2e-05
formal_T2_seed8623_step3840,2,8623,formal,3840,1659.4260549619794,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step3840.pt,0,supplementary,2.8053025267249425,0.4924953095684803,233,2132,49.249530956848034,2e-05
formal_T2_seed8623_step4096,2,8623,formal,4096,1769.832960549742,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step4096.pt,0,test,2.6772048786872653,0.509053196681308,4406,40980,50.9053196681308,2e-05
formal_T2_seed8623_step4096,2,8623,formal,4096,1769.832960549742,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T2_seed8623_lr2e-05/step4096.pt,0,supplementary,2.782902444952201,0.49530956848030017,233,2132,49.530956848030016,2e-05
formal_T4_seed8621_step512,4,8621,formal,512,215.93797248229384,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step512.pt,0,test,2.633488003463778,0.5168618838457785,4406,40980,51.68618838457785,2e-05
formal_T4_seed8621_step512,4,8621,formal,512,215.93797248229384,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step512.pt,0,supplementary,2.7381145880325204,0.5079737335834896,233,2132,50.79737335834896,2e-05
formal_T4_seed8621_step768,4,8621,formal,768,323.54549047350883,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step768.pt,0,test,2.609982115883614,0.5174231332357248,4406,40980,51.742313323572475,2e-05
formal_T4_seed8621_step768,4,8621,formal,768,323.54549047350883,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step768.pt,0,supplementary,2.69892733713252,0.5112570356472795,233,2132,51.12570356472796,2e-05
formal_T4_seed8621_step1024,4,8621,formal,1024,429.3536890670657,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step1024.pt,0,test,2.597582093292037,0.5213762811127379,4406,40980,52.13762811127379,2e-05
formal_T4_seed8621_step1024,4,8621,formal,1024,429.3536890670657,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step1024.pt,0,supplementary,2.6986430187554116,0.5032833020637899,233,2132,50.32833020637899,2e-05
