stage,step,T,ce_mean,ce_sd,accuracy_pct_mean
frozen,0,2,3.200008869944697,,45.165934602244995
frozen,0,4,2.963503474832067,,48.05514885309907
formal,512,2,2.785739928183022,0.008964429114240195,49.5355457946966
formal,512,4,2.6319262009546947,0.003135752441478921,51.54953635919961
formal,1024,2,2.743404913424663,0.002015022820854231,49.89913779079226
formal,1024,4,2.599727882149951,0.002882331574910032,52.06035464454205
formal,2048,2,2.7082500470760826,0.0017707185953941172,50.453879941434856
formal,2048,4,2.5706095319627495,0.009138089815988286,52.2466243696112
formal,4096,2,2.680468822611614,0.005461225719234998,50.92402798112901
formal,4096,4,2.54710903048366,0.004183863900577238,52.71433219456646
legacy_reconstructed,512,2,2.785208223237844,0.007968333452724167,49.61525947616723
legacy_reconstructed,512,4,2.6345282801023684,0.007698858052558181,51.45274117455669
