T,seed,threshold,fraction,step,actual_seconds,slack_fraction,strict_time_match,gpu
2,8621,428.48861151374876,0.25,512,278.1541559584439,0.3508481941310152,False,0
2,8621,856.9772230274975,0.5,1280,715.8896336108446,0.16463400149449,False,0
2,8621,1713.954446054995,1.0,2816,1653.4962848983705,0.035274077030332376,True,0
2,8622,428.48861151374876,0.25,768,427.28966726362705,0.002798077283515486,True,1
2,8622,856.9772230274975,0.5,1280,712.4918558038771,0.16859884176756512,False,1
2,8622,1713.954446054995,1.0,2816,1640.1250940300524,0.04307544590515546,True,1
2,8623,428.48861151374876,0.25,768,328.8222716599703,0.2325997405197793,False,0
2,8623,856.9772230274975,0.5,1792,765.5755442343652,0.10665590209064346,False,0
2,8623,1713.954446054995,1.0,3840,1659.4260549619794,0.031814375941276354,True,0
4,8621,428.48861151374876,0.25,768,323.54549047350883,0.24491460967772455,False,0
4,8621,856.9772230274975,0.5,1792,751.5173023864627,0.12306035423960268,False,0
4,8621,1713.954446054995,1.0,4096,1713.954446054995,0.0,True,0
4,8622,428.48861151374876,0.25,768,323.3317961394787,0.24541332616233594,False,1
4,8622,856.9772230274975,0.5,1792,750.6158318556845,0.12411227313144148,False,1
4,8622,1713.954446054995,1.0,3840,1614.1847401559353,0.05821024364369746,True,1
4,8623,428.48861151374876,0.25,768,327.17193314805627,0.23645127465060198,False,0
4,8623,856.9772230274975,0.5,1792,761.5732863396406,0.11132610543698863,False,0
4,8623,1713.954446054995,1.0,3840,1619.2292301394045,0.055267055745629255,True,0
