seed,T,midpoint_step,median_seconds
8621,2,128,0.5040442608296871
8621,2,384,0.5768619440495968
8621,2,640,0.6022739820182323
8621,2,896,0.5397302377969027
8621,2,1152,0.5417420901358128
8621,2,1408,0.6080614738166332
8621,2,1664,0.6102424208074808
8621,2,1920,0.6105898655951023
8621,2,2176,0.6036065313965082
8621,2,2432,0.6246338710188866
8621,2,2688,0.622806528583169
8621,2,2944,0.42825509048998356
8621,2,3200,0.42125278897583485
8621,2,3456,0.42210046015679836
8621,2,3712,0.42204830050468445
8621,2,3968,0.42310452833771706
8621,4,128,0.42157548666000366
8621,4,384,0.4191936645656824
8621,4,640,0.4169608876109123
8621,4,896,0.41529760509729385
8621,4,1152,0.4190259464085102
8621,4,1408,0.41702544689178467
8621,4,1664,0.4152547996491194
8621,4,1920,0.4152131173759699
8621,4,2176,0.41644473373889923
8621,4,2432,0.41870820708572865
8621,4,2688,0.4192353058606386
8621,4,2944,0.4149541165679693
8621,4,3200,0.4213375821709633
8621,4,3456,0.41582006216049194
8621,4,3712,0.41490422561764717
8621,4,3968,0.42033373191952705
8622,2,128,0.5015399623662233
8622,2,384,0.5747084859758615
8622,2,640,0.5998392757028341
8622,2,896,0.5470430105924606
8622,2,1152,0.5845849607139826
8622,2,1408,0.599829426035285
8622,2,1664,0.602679243311286
8622,2,1920,0.6081472728401423
8622,2,2176,0.5946370679885149
8622,2,2432,0.6165995933115482
8622,2,2688,0.6160583421587944
8622,2,2944,0.42662726528942585
8622,2,3200,0.4152507670223713
8622,2,3456,0.42034937255084515
8622,2,3712,0.4213007092475891
8622,2,3968,0.4188414588570595
8622,4,128,0.4179339110851288
8622,4,384,0.41895765997469425
8622,4,640,0.4167350046336651
8622,4,896,0.41657359153032303
8622,4,1152,0.4193189274519682
8622,4,1408,0.4151731766760349
8622,4,1664,0.4186122287064791
8622,4,1920,0.4186681341379881
8622,4,2176,0.41690099239349365
8622,4,2432,0.41694431751966476
8622,4,2688,0.41864761523902416
8622,4,2944,0.4214051328599453
8622,4,3200,0.42176475562155247
8622,4,3456,0.4266738947480917
8622,4,3712,0.416418693959713
8622,4,3968,0.4225397650152445
8623,2,128,0.4261711835861206
8623,2,384,0.4234334211796522
8623,2,640,0.4262743163853884
8623,2,896,0.42196435667574406
8623,2,1152,0.4283506851643324
8623,2,1408,0.4216766878962517
8623,2,1664,0.4190551172941923
8623,2,1920,0.42378739826381207
8623,2,2176,0.43123237788677216
8623,2,2432,0.42714548483490944
8623,2,2688,0.4269543755799532
8623,2,2944,0.42222014628350735
8623,2,3200,0.4259633980691433
8623,2,3456,0.42646099627017975
8623,2,3712,0.42332378402352333
8623,2,3968,0.42552537098526955
8623,4,128,0.4275493938475847
8623,4,384,0.4178098924458027
8623,4,640,0.4205424599349499
8623,4,896,0.41916514188051224
8623,4,1152,0.42360279336571693
8623,4,1408,0.41903516463935375
8623,4,1664,0.4201603326946497
8623,4,1920,0.4177717361599207
8623,4,2176,0.4200268257409334
8623,4,2432,0.41803931817412376
8623,4,2688,0.42026870884001255
8623,4,2944,0.4183953460305929
8623,4,3200,0.4174894243478775
8623,4,3456,0.415765268728137
8623,4,3712,0.4180753789842129
8623,4,3968,0.41789065301418304
