updates,seed,condition,P4,accuracy_target_minus_reuse_pp
512,9621,raw,0.0171831924275263,1.2699999999999934
512,9621,bn,-0.0338384097078989,0.2199999999999979
512,9622,raw,0.0139703261815244,1.889999999999992
512,9622,bn,-0.0320168278054857,0.6799999999999917
512,9623,raw,0.0329856950047775,1.7900000000000027
512,9623,bn,-0.0375440644414688,0.4199999999999981
512,9624,raw,0.0251166516966245,1.970000000000005
512,9624,bn,-0.0309730126507405,0.5700000000000038
512,9625,raw,0.014919285063434,1.640000000000008
512,9625,bn,-0.0363443678633192,0.9800000000000032
2048,9621,raw,-2.1104068541832888e-05,1.1299999999999977
2048,9621,bn,-0.0210458940063602,1.2900000000000025
2048,9622,raw,0.0061566851023118,1.9199999999999997
2048,9622,bn,-0.0114840554326074,0.5599999999999938
2048,9623,raw,0.0177311806830171,1.6700000000000048
2048,9623,bn,-0.0192951197331161,0.3099999999999991
2048,9624,raw,0.0008584376833458,1.3900000000000023
2048,9624,bn,-0.0139842134742211,0.9600000000000052
2048,9625,raw,-0.0086186966828885,1.2299999999999978
2048,9625,bn,-0.0143956390883948,0.7100000000000106
