figure,task,init_id,condition,updates,infer_T,mean,low,high,n
target_effects,language,R2.1,raw,512,2,0.06797955033082732,0.049366594467152455,0.08659250619450219,3
target_effects,language,R2.1,raw,512,4,0.14428555750040029,0.12586670256652843,0.16270441243427214,3
target_effects,language,R2.1,raw,4096,2,0.06671000616346606,0.05135124708846418,0.08206876523846794,3
target_effects,language,R2.1,raw,4096,4,0.15810354712387015,0.130410715966234,0.1857963782815063,3
target_effects,vision,A,raw,512,2,0.14839799708335186,0.13975170307766435,0.15704429108903936,5
target_effects,vision,A,raw,512,4,0.020835030074777338,0.010796979909481464,0.030873080240073212,5
target_effects,vision,A,raw,1024,2,0.15876432246519137,0.13954643723801463,0.1779822076923681,5
target_effects,vision,A,raw,1024,4,0.007720926917226842,-0.00919947619072552,0.024641330025179205,5
target_effects,vision,A,raw,2048,2,0.15369797025097534,0.14065826916791296,0.16673767133403772,5
target_effects,vision,A,raw,2048,4,0.003221300543448874,-0.008808029522727173,0.015250630609624921,5
bn_effects,vision,A,bn_minus_raw,512,2,0.007882883337677966,-0.003527669746917735,0.019293436422273665,5
bn_effects,vision,A,bn_minus_raw,512,4,-0.054978366568559964,-0.06664898091179103,-0.04330775222532889,5
bn_effects,vision,A,bn_minus_raw,1024,2,0.005969251353348359,-0.018104527223681693,0.030043029930378412,5
bn_effects,vision,A,bn_minus_raw,1024,4,-0.03454891843178842,-0.04931801562918082,-0.019779821234396026,5
bn_effects,vision,A,bn_minus_raw,2048,2,0.013512653455331458,0.0007786737699783768,0.02624663314068454,5
bn_effects,vision,A,bn_minus_raw,2048,4,-0.019262284890388795,-0.03345591792085812,-0.005068651859919469,5
