init_id,source_id,state,seed,adapt_T,cal_seed,infer_T,CE_other_cal_minus_matched,accuracy_matched_minus_other_pp
A,A_s9625_a2_K2048,adapted,9625.0,2.0,9640,2,0.06157503776240647,1.3699999999999934
A,A_s9625_a2_K2048,adapted,9625.0,2.0,9640,4,0.023414261924050495,-0.0200000000000089
A,A_s9625_a2_K2048,adapted,9625.0,2.0,9740,2,0.05771359939922105,1.2300000000000089
A,A_s9625_a2_K2048,adapted,9625.0,2.0,9740,4,0.034856409095716634,0.6399999999999961
A,A_s9625_a2_K2048,adapted,9625.0,2.0,9840,2,0.05880890099145475,1.880000000000004
A,A_s9625_a2_K2048,adapted,9625.0,2.0,9840,4,0.026398239157925163,0.5599999999999938
A,A_s9625_a4_K2048,adapted,9625.0,4.0,9640,2,-0.018899177939072365,0.28000000000000247
A,A_s9625_a4_K2048,adapted,9625.0,4.0,9640,4,0.1310469790137374,1.7400000000000082
A,A_s9625_a4_K2048,adapted,9625.0,4.0,9740,2,-0.018309936919622016,0.2500000000000058
A,A_s9625_a4_K2048,adapted,9625.0,4.0,9740,4,0.1375985599949956,1.9299999999999984
A,A_s9625_a4_K2048,adapted,9625.0,4.0,9840,2,-0.025778525752853554,0.10000000000000009
A,A_s9625_a4_K2048,adapted,9625.0,4.0,9840,4,0.13620035450349088,2.32
B,B_initial,shared_initial,,,9640,2,-0.03677058374048214,-0.40999999999999925
B,B_initial,shared_initial,,,9640,4,0.11482398021277618,2.200000000000002
B,B_initial,shared_initial,,,9740,2,-0.04314549098487497,-0.030000000000007798
B,B_initial,shared_initial,,,9740,4,0.1178106561960186,2.189999999999992
B,B_initial,shared_initial,,,9840,2,-0.040714425737923055,0.33999999999999586
B,B_initial,shared_initial,,,9840,4,0.120471977263235,2.0199999999999996
B,B_s9721_a2_K2048,adapted,9721.0,2.0,9640,2,0.02738344877158516,0.550000000000006
B,B_s9721_a2_K2048,adapted,9721.0,2.0,9640,4,0.029236617682926624,0.6900000000000017
B,B_s9721_a2_K2048,adapted,9721.0,2.0,9740,2,0.01937307055558768,1.2500000000000067
B,B_s9721_a2_K2048,adapted,9721.0,2.0,9740,4,0.034121276273106904,0.539999999999996
B,B_s9721_a2_K2048,adapted,9721.0,2.0,9840,2,0.029916202811477666,0.649999999999995
B,B_s9721_a2_K2048,adapted,9721.0,2.0,9840,4,0.026121597796841645,0.7000000000000006
B,B_s9721_a4_K2048,adapted,9721.0,4.0,9640,2,-0.05297879260485061,-0.22000000000000908
B,B_s9721_a4_K2048,adapted,9721.0,4.0,9640,4,0.1258685629505898,2.629999999999999
B,B_s9721_a4_K2048,adapted,9721.0,4.0,9740,2,-0.057128413253556776,-0.5599999999999938
B,B_s9721_a4_K2048,adapted,9721.0,4.0,9740,4,0.12948283387027915,2.0999999999999908
B,B_s9721_a4_K2048,adapted,9721.0,4.0,9840,2,-0.056001980661495976,-0.27000000000000357
B,B_s9721_a4_K2048,adapted,9721.0,4.0,9840,4,0.12453865134025688,1.9999999999999907
B,B_s9722_a2_K2048,adapted,9722.0,2.0,9640,2,0.03252421698844987,1.3299999999999979
B,B_s9722_a2_K2048,adapted,9722.0,2.0,9640,4,0.019115333047124983,0.14000000000000679
B,B_s9722_a2_K2048,adapted,9722.0,2.0,9740,2,0.027044466943084267,0.7199999999999984
B,B_s9722_a2_K2048,adapted,9722.0,2.0,9740,4,0.032318836549425134,0.7299999999999973
B,B_s9722_a2_K2048,adapted,9722.0,2.0,9840,2,0.03485848613442499,1.5300000000000091
B,B_s9722_a2_K2048,adapted,9722.0,2.0,9840,4,0.023921029659407234,0.30999999999999917
B,B_s9722_a4_K2048,adapted,9722.0,4.0,9640,2,-0.04159631707235234,-0.27000000000000357
B,B_s9722_a4_K2048,adapted,9722.0,4.0,9640,4,0.11269828029582274,1.9400000000000084
B,B_s9722_a4_K2048,adapted,9722.0,4.0,9740,2,-0.0413588936449496,0.10999999999999899
B,B_s9722_a4_K2048,adapted,9722.0,4.0,9740,4,0.1165016888692394,1.7100000000000004
B,B_s9722_a4_K2048,adapted,9722.0,4.0,9840,2,-0.035931982838735,0.15999999999999348
B,B_s9722_a4_K2048,adapted,9722.0,4.0,9840,4,0.11071714428850665,1.4800000000000035
B,B_s9723_a2_K2048,adapted,9723.0,2.0,9640,2,0.033029202336224195,1.200000000000001
B,B_s9723_a2_K2048,adapted,9723.0,2.0,9640,4,0.025355705400265327,0.5099999999999993
B,B_s9723_a2_K2048,adapted,9723.0,2.0,9740,2,0.022184458413359254,0.8599999999999941
B,B_s9723_a2_K2048,adapted,9723.0,2.0,9740,4,0.03074360967770917,0.8399999999999963
B,B_s9723_a2_K2048,adapted,9723.0,2.0,9840,2,0.033282570564159064,1.1700000000000044
B,B_s9723_a2_K2048,adapted,9723.0,2.0,9840,4,0.02385613723464486,0.7000000000000006
B,B_s9723_a4_K2048,adapted,9723.0,4.0,9640,2,-0.042177228632103825,0.20999999999999908
B,B_s9723_a4_K2048,adapted,9723.0,4.0,9640,4,0.11289981029651841,1.7199999999999993
B,B_s9723_a4_K2048,adapted,9723.0,4.0,9740,2,-0.03750123317283571,-0.07000000000000339
B,B_s9723_a4_K2048,adapted,9723.0,4.0,9740,4,0.11271127771447653,1.6199999999999992
B,B_s9723_a4_K2048,adapted,9723.0,4.0,9840,2,-0.04763545803690805,-0.07000000000000339
B,B_s9723_a4_K2048,adapted,9723.0,4.0,9840,4,0.11620822625912264,1.980000000000004
