init_id,condition,infer_T,updates,contrast,n,mean,sd,low,high,positive,negative
A,bn,2,512,G_a2,5,0.14006545047987945,0.010698921766255884,0.1267809845031209,0.153349916456638,5,0
A,bn,2,512,G_a4,5,-0.016215429941150418,0.008688909072796047,-0.027004135520507316,-0.005426724361793518,0,5
A,bn,2,512,P,5,0.1562808804210299,0.009884637186053813,0.14400748229180071,0.16855427855025906,5,0
A,bn,2,512,accuracy_gain_a2_pp,5,1.4340000000000017,0.43119601111327666,0.8985994368315758,1.9694005631684277,5,0
A,bn,2,512,accuracy_gain_a4_pp,5,-0.07400000000000073,0.31516662259826833,-0.4653310487157434,0.3173310487157419,3,2
A,bn,2,512,accuracy_target_minus_reuse_pp,5,1.5080000000000024,0.4700212761141756,0.9243915030592398,2.091608496940765,5,0
A,bn,2,1024,G_a2,5,0.15882779799944488,0.0056558328887239915,0.1518051539216595,0.16585044207723026,5,0
A,bn,2,1024,G_a4,5,-0.0059057758190948825,0.005000814935503139,-0.012115107686188807,0.0003035560479990431,1,4
A,bn,2,1024,P,5,0.16473357381853976,0.004652229122034577,0.15895706840631432,0.1705100792307652,5,0
A,bn,2,1024,accuracy_gain_a2_pp,5,1.4500000000000002,0.459728180558903,0.8791720692402907,2.02082793075971,5,0
A,bn,2,1024,accuracy_gain_a4_pp,5,0.12600000000000167,0.22232858565645763,-0.15005740058118355,0.4020574005811869,3,2
A,bn,2,1024,accuracy_target_minus_reuse_pp,5,1.3239999999999985,0.3169069263995361,0.9305080787082844,1.7174919212917126,5,0
A,bn,2,2048,G_a2,5,0.1733954710414051,0.0063719597184182936,0.1654836380610405,0.1813073040217697,5,0
A,bn,2,2048,G_a4,5,0.006184847335098276,0.006386217369579577,-0.0017446888574122257,0.014114383527608777,4,1
A,bn,2,2048,P,5,0.16721062370630682,0.011160794900098699,0.15335266648751808,0.18106858092509556,5,0
A,bn,2,2048,accuracy_gain_a2_pp,5,1.9300000000000026,0.21621748310439942,1.661530535447039,2.198469464552966,5,0
A,bn,2,2048,accuracy_gain_a4_pp,5,0.20600000000000396,0.41040224170927536,-0.3035816883125225,0.7155816883125304,4,1
A,bn,2,2048,accuracy_target_minus_reuse_pp,5,1.7239999999999989,0.5415994830130472,1.0515154204969273,2.3964845795030705,5,0
A,bn,4,512,G_a2,5,0.030202711748725308,0.004341946086781093,0.024811473610627507,0.03559394988682311,5,0
A,bn,4,512,G_a4,5,-0.003940624745057386,0.005540941456766449,-0.010820612268079004,0.002939362777964232,1,4
A,bn,4,512,P,5,-0.03414333649378269,0.0027872684872366892,-0.037604187427712356,-0.030682485559853027,0,5
A,bn,4,512,accuracy_gain_a2_pp,5,-0.40999999999999925,0.1847971861257635,-0.63945601298172,-0.18054398701827856,0,5
A,bn,4,512,accuracy_gain_a4_pp,5,0.1639999999999997,0.15339491516996223,-0.026464943674062824,0.3544649436740622,4,0
A,bn,4,512,accuracy_target_minus_reuse_pp,5,0.573999999999999,0.2850964748992886,0.22000597110274922,0.9279940288972487,5,0
A,bn,4,1024,G_a2,5,0.030638189266712378,0.003657315301760137,0.02609703252643708,0.035179346006987675,5,0
A,bn,4,1024,G_a4,5,0.0038101977521507457,0.003363024323901663,-0.00036554847592150386,0.007985943980222995,5,0
A,bn,4,1024,P,5,-0.026827991514561632,0.0034616559935917906,-0.03112620513597084,-0.022529777893152424,0,5
A,bn,4,1024,accuracy_gain_a2_pp,5,-0.43799999999999617,0.1329285522376578,-0.6030525976468443,-0.27294740235314807,0,5
A,bn,4,1024,accuracy_gain_a4_pp,5,0.22399999999999975,0.16712270940838764,0.016489748445335323,0.43151025155466416,4,0
A,bn,4,1024,accuracy_target_minus_reuse_pp,5,0.6619999999999959,0.09984988733093605,0.5380199896764705,0.7859800103235214,5,0
A,bn,4,2048,G_a2,5,0.027796459928091054,0.003193048522553568,0.023831766533118567,0.03176115332306354,5,0
A,bn,4,2048,G_a4,5,0.011755475581151087,0.005416017313186249,0.0050306018697194406,0.018480349292582732,5,0
A,bn,4,2048,P,5,-0.016040984346939968,0.0039793713819987865,-0.02098202652745022,-0.011099942166429715,0,5
A,bn,4,2048,accuracy_gain_a2_pp,5,-0.2740000000000009,0.28987928522059125,-0.6339326722834495,0.08593267228344775,1,4
A,bn,4,2048,accuracy_gain_a4_pp,5,0.4920000000000013,0.134238593556399,0.3253207712115129,0.6586792287884897,5,0
A,bn,4,2048,accuracy_target_minus_reuse_pp,5,0.7660000000000022,0.37607180165495213,0.2990451831454214,1.232954816854583,5,0
A,raw,2,512,G_a2,5,0.12610056535894518,0.025029656350096227,0.09502214218161846,0.15717898853627188,5,0
A,raw,2,512,G_a4,5,-0.022297431724406725,0.030536923083896987,-0.06021402973359907,0.015619166284785626,2,3
A,raw,2,512,P,5,0.1483979970833519,0.00696347322479798,0.13975170307766438,0.15704429108903945,5,0
A,raw,2,512,accuracy_gain_a2_pp,5,1.607999999999998,0.29397278785629233,1.2429845728672473,1.973015427132749,5,0
A,raw,2,512,accuracy_gain_a4_pp,5,-0.34199999999999786,0.40400495046471974,-0.8436384020881355,0.15963840208813973,2,3
A,raw,2,512,accuracy_target_minus_reuse_pp,5,1.9499999999999964,0.24929901724635878,1.6404543854976135,2.2595456145023793,5,0
A,raw,2,1024,G_a2,5,0.16597794303043636,0.012617242931629866,0.15031156672564064,0.1816443193352321,5,0
A,raw,2,1024,G_a4,5,0.007213620565244971,0.025136337111640292,-0.023997264272991974,0.03842450540348191,2,3
A,raw,2,1024,P,5,0.1587643224651914,0.015477524720840753,0.13954643723801466,0.17798220769236814,5,0
A,raw,2,1024,accuracy_gain_a2_pp,5,2.1199999999999997,0.43445367992457273,1.5805545067505165,2.659445493249483,5,0
A,raw,2,1024,accuracy_gain_a4_pp,5,0.17800000000000038,0.2972709202057953,-0.1911105993324395,0.5471105993324403,4,1
A,raw,2,1024,accuracy_target_minus_reuse_pp,5,1.9419999999999995,0.3954364677163705,1.4510007744597173,2.4329992255402817,5,0
A,raw,2,2048,G_a2,5,0.16380449667342017,0.016797290277559166,0.14294790606839686,0.1846610872784435,5,0
A,raw,2,2048,G_a4,5,0.010106526422444828,0.022561656720344256,-0.01790747046703864,0.0381205233119283,3,2
A,raw,2,2048,P,5,0.15369797025097537,0.010501795253728928,0.140658269167913,0.16673767133403775,5,0
A,raw,2,2048,accuracy_gain_a2_pp,5,2.5160000000000027,0.2685702887513829,2.182525941470221,2.8494740585297844,5,0
A,raw,2,2048,accuracy_gain_a4_pp,5,0.27799999999999825,0.2738977911557509,-0.062089026465631025,0.6180890264656276,5,0
A,raw,2,2048,accuracy_target_minus_reuse_pp,5,2.238000000000004,0.4540594674709476,1.6742107061977554,2.8017892938022526,5,0
A,raw,4,512,G_a2,5,-0.049560602368683336,0.03343133855313182,-0.09107109186186864,-0.008050112875498033,0,5
A,raw,4,512,G_a4,5,-0.028725572293905932,0.026678741726576652,-0.06185160541317269,0.004400460825360823,0,5
A,raw,4,512,P,5,0.020835030074777404,0.008084353077658101,0.01079697990948154,0.030873080240073267,5,0
A,raw,4,512,accuracy_gain_a2_pp,5,-2.1799999999999997,0.5101960407529644,-2.813492055829056,-1.5465079441709433,0,5
A,raw,4,512,accuracy_gain_a4_pp,5,-0.4679999999999995,0.4123954412939142,-0.9800565724780067,0.04405657247800765,1,4
A,raw,4,512,accuracy_target_minus_reuse_pp,5,1.7120000000000002,0.2760796986379136,1.369201777566358,2.054798222433642,5,0
A,raw,4,1024,G_a2,5,-0.011747409598297676,0.013380297648725127,-0.02836124347397014,0.0048664242773747875,1,4
A,raw,4,1024,G_a4,5,-0.004026482681070842,0.014803919317706747,-0.02240797633018054,0.014355010968038857,2,3
A,raw,4,1024,P,5,0.007720926917226834,0.013627199574466255,-0.009199476190725567,0.024641330025179237,3,2
A,raw,4,1024,accuracy_gain_a2_pp,5,-1.769999999999996,0.3430014577228484,-2.1958925613858673,-1.3441074386141247,0,5
A,raw,4,1024,accuracy_gain_a4_pp,5,-0.16599999999999948,0.11148990985734959,-0.30443300723285344,-0.027566992767145526,1,4
A,raw,4,1024,accuracy_target_minus_reuse_pp,5,1.6039999999999968,0.3479655155327864,1.1719437467465232,2.03605625325347,5,0
A,raw,4,2048,G_a2,5,-0.008596349378282886,0.015730393490909593,-0.028128212653524158,0.010935513896958389,3,2
